#OTU_num	T.T2CK.1	T.T2CK.2	T.T2CK.3	T.T2CK.4	T.T2B.1	T.T2B.2	T.T2B.3	T.T2B.4	T.T2J.1	T.T2J.2	T.T2J.3	T.T2J.4	T.T2BJ.1	T.T2BJ.2	T.T2BJ.3	T.T2BJ.4	T.T2ML.1	T.T2ML.2	T.T2ML.3	T.T2ML.4	T.T3CK.1	T.T3CK.2	T.T3CK.3	T.T3CK.4	T.T3B.1	T.T3B.2	T.T3B.3	T.T3B.4	T.T3J.1	T.T3J.2	T.T3J.3	T.T3J.4	T.T3BJ.1	T.T3BJ.2	T.T3BJ.3	T.T3BJ.4	T.T3ML.1	T.T3ML.2	T.T3ML.3	T.T3ML.4	T.T4CK.1	T.T4CK.2	T.T4CK.3	T.T4CK.4	T.T4B.1	T.T4B.2	T.T4B.3	T.T4B.4	T.T4J.1	T.T4J.2	T.T4J.3	T.T4J.4	T.T4BJ.1	T.T4BJ.2	T.T4BJ.3	T.T4BJ.4	T.T4ML.1	T.T4ML.2	T.T4ML.3	T.T4ML.4
OTU_1	1048	1358	1383	850	3708	3905	3050	6398	3457	6144	7069	4129	4931	4750	6112	4054	3621	3503	2991	3603	381	362	406	404	827	618	680	570	714	725	497	660	475	569	503	489	448	470	562	455	455	423	360	441	463	491	420	597	739	457	462	530	659	554	533	511	630	608	590	714
OTU_2	658	2448	1880	2241	6459	1685	7444	1402	8230	5233	1571	5848	1161	5606	4314	6760	5633	4978	8782	6930	1429	994	806	1105	631	2195	2085	2418	2141	2298	2861	3123	2757	2469	1115	2659	444	1405	1515	1690	1378	911	1640	984	873	1165	1767	1698	580	1275	1335	1455	1605	2318	1930	2253	551	638	603	783
OTU_3	909	819	996	643	3447	4843	1620	2629	1567	2712	2618	1977	3759	1962	2871	1929	2139	2303	1835	2560	529	384	387	396	989	618	673	502	668	764	480	533	453	465	332	402	542	508	516	508	494	531	379	370	370	356	407	366	419	320	336	320	263	360	380	416	275	272	257	293
OTU_4	206	245	273	197	320	695	800	1027	1320	1046	2300	1447	782	1358	784	833	281	299	244	295	343	293	481	351	1771	1740	1131	1364	1051	951	599	739	1128	766	1745	812	304	382	348	256	235	231	253	199	1552	666	1009	623	1810	1002	902	565	525	729	829	611	93	35	60	24
OTU_5	2035	4512	5829	4321	379	576	458	466	206	265	240	208	288	459	417	495	1100	2342	1358	1090	1576	1259	1071	1598	466	659	558	695	329	453	355	313	237	313	299	256	683	813	729	945	311	705	635	460	33	66	37	27	5	4	11	8	51	18	21	16	197	334	192	162
OTU_6	552	491	677	527	1833	4061	4994	1962	2216	2304	1790	5074	5961	4542	3876	4416	893	1185	1383	995	162	139	135	300	472	487	451	522	343	386	562	373	524	352	313	470	281	249	217	224	176	256	384	147	247	306	362	217	419	332	258	210	190	285	330	350	146	204	203	68
OTU_7	2046	2055	1703	2433	311	309	375	334	200	183	98	122	208	188	129	252	244	240	290	606	1793	1020	788	829	826	648	605	842	423	473	554	444	411	416	324	339	639	503	596	754	240	430	482	407	133	146	139	214	68	201	151	135	163	116	148	114	284	206	245	313
OTU_8	468	693	410	293	558	210	635	174	1104	1170	290	348	375	863	874	1123	292	437	313	367	103	75	48	54	75	96	68	94	54	46	56	35	68	70	20	24	40	81	61	70	41	37	46	25	30	50	40	41	27	24	50	54	160	128	165	174	178	198	180	161
OTU_9	558	347	256	339	118	125	115	107	96	111	74	87	126	96	93	80	126	146	86	118	626	734	630	701	647	454	832	545	421	573	472	431	532	592	281	645	624	456	556	573	465	685	581	431	281	348	563	717	409	519	219	238	364	538	259	626	362	307	319	448
OTU_10	861	337	525	558	192	158	141	208	191	247	144	222	265	191	233	296	264	309	190	268	757	1083	877	1217	1338	911	1325	1227	847	951	829	1347	1427	1665	862	1603	1981	1269	2050	2542	878	755	755	782	628	716	943	1003	663	901	670	693	711	898	659	1054	453	545	705	759
