sample	group
T.T2CK.1	T2CK
T.T2CK.2	T2CK
T.T2CK.3	T2CK
T.T2CK.4	T2CK
T.T2B.1	T2B
T.T2B.2	T2B
T.T2B.3	T2B
T.T2B.4	T2B
T.T2J.1	T2J
T.T2J.2	T2J
T.T2J.3	T2J
T.T2J.4	T2J
T.T2BJ.1	T2BJ
T.T2BJ.2	T2BJ
T.T2BJ.3	T2BJ
T.T2BJ.4	T2BJ
T.T2ML.1	T2ML
T.T2ML.2	T2ML
T.T2ML.3	T2ML
T.T2ML.4	T2ML
T.T3CK.1	T3CK
T.T3CK.2	T3CK
T.T3CK.3	T3CK
T.T3CK.4	T3CK
T.T3B.1	T3B
T.T3B.2	T3B
T.T3B.3	T3B
T.T3B.4	T3B
T.T3J.1	T3J
T.T3J.2	T3J
T.T3J.3	T3J
T.T3J.4	T3J
T.T3BJ.1	T3BJ
T.T3BJ.2	T3BJ
T.T3BJ.3	T3BJ
T.T3BJ.4	T3BJ
T.T3ML.1	T3ML
T.T3ML.2	T3ML
T.T3ML.3	T3ML
T.T3ML.4	T3ML
T.T4CK.1	T4CK
T.T4CK.2	T4CK
T.T4CK.3	T4CK
T.T4CK.4	T4CK
T.T4B.1	T4B
T.T4B.2	T4B
T.T4B.3	T4B
T.T4B.4	T4B
T.T4J.1	T4J
T.T4J.2	T4J
T.T4J.3	T4J
T.T4J.4	T4J
T.T4BJ.1	T4BJ
T.T4BJ.2	T4BJ
T.T4BJ.3	T4BJ
T.T4BJ.4	T4BJ
T.T4ML.1	T4ML
T.T4ML.2	T4ML
T.T4ML.3	T4ML
T.T4ML.4	T4ML
