	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	group	group1	group2
T.T1CK.1	0.003651219	-0.211168883	0.065287616	-0.17657195	-0.083480251	0.109136095	0.107278592	0.035628211	-0.014016771	0.029438751	-0.013384979	-0.031144468	0.024414065	-0.0119209	0.003799812	0.017971269	0.005548922	0.013985062	0.00255006	-0.021268773	0.018917158	0.004302192	0.029857789	-0.006296686	-0.000750555	0.00421045	0.016465053	-0.009392699	0.010266637	-0.018389111	0.027412757	-0.002108286	-0.012698951	-0.009521924	-0.021397009	0.013976121	-0.01797675	0.02495184	-0.002333795	-0.001499597	0.003220907	0.025861792	0.01447875	-0.013892247	0.013244415	0.009860355	-0.011415842	-0.001471066	0.007120868	-0.000509999	T1CK	T1	CK
T.T1CK.2	-0.0173757	-0.227057102	0.093877946	-0.183550564	-0.057127069	0.110299059	0.095594463	0.030753761	-0.014584396	0.015504887	-0.014450644	-0.0190992	-0.000616968	-0.01458272	0.001129242	-0.008923375	0.025262501	-0.009059925	-0.006918578	0.019888044	-0.016108513	0.005347511	-0.00647301	-0.000263799	-0.003165002	-0.002254381	-0.003752949	0.012490684	-0.017030564	-0.00450406	-0.016776457	0.011032876	-0.038847331	0.00067891	0.011018474	-0.003465588	0.001983904	-0.039207337	0.009345984	0.011899993	0.003411299	-0.012632323	-0.023850777	0.005406712	0.013088289	-0.020071184	0.007956738	0.004415729	0.000691955	0.001291908	T1CK	T1	CK
T.T1CK.3	-0.002602188	-0.22088328	0.095502277	-0.19727905	-0.050859655	0.124779144	0.082997638	0.052306779	-0.016444914	-0.000685337	0.015821115	0.012955128	-0.002580878	0.012122061	0.017598442	-0.014810508	-0.009706153	-0.017455815	0.007051939	-0.019099983	-0.016799585	-0.004466881	-0.023622195	0.007470635	-0.003647911	0.004055536	-0.005431575	-0.007517655	0.006428373	0.018254908	-0.014369043	-0.013774848	0.044235373	0.013370501	0.007967829	-0.010513593	0.009458672	0.016034888	-0.006592346	-0.010027111	-0.003251937	-0.015184536	0.011136561	0.004523691	-0.030030709	0.00113729	0.004774297	-0.005432859	-0.007710959	-0.001650931	T1CK	T1	CK
T.T1CK.4	0.105248041	-0.083454665	0.051413884	-0.338016389	0.094437266	-0.381449219	-0.011792729	-0.000952272	-0.029983812	-0.008736452	-0.005070851	-0.002206861	0.003422161	0.000629761	-0.003264526	0.008228478	0.001302307	0.002433731	-0.000201933	0.0033025	0.003958736	5.93E-05	0.001342408	0.003484729	-0.004847397	-0.004013034	0.001224532	-0.000372934	0.003312502	0.000522205	-0.000157596	2.39E-05	-0.000560391	0.001559597	-0.000857922	0.000998608	8.18E-05	0.000653413	-0.000262495	6.50E-05	-0.000237619	-7.83E-05	0.000252592	-0.000332831	-0.001175135	0.000293921	0.000762189	-0.000201812	-0.000131537	0.000279384	T1CK	T1	CK
T.T2CK.1	0.081556122	-0.271772073	-0.076026382	0.008387386	-0.081296686	0.018538045	-0.099436354	0.026170342	-0.03573295	-0.048219762	0.027458475	0.021441799	-0.040985478	0.069891911	0.032143576	0.036935464	-0.012587046	0.004627282	-0.031368691	0.025747915	-0.001219354	0.009037777	0.009089293	-0.002252827	0.018297296	0.002661711	0.000568894	0.024191289	-0.000370576	-0.009968584	0.009941823	-0.013088463	-0.003192364	0.007651933	0.010715389	0.033582934	-0.006992485	-0.007169336	-0.009142075	-0.016417862	-0.003466985	0.000685589	-0.007307585	0.013450871	0.003174155	0.018868775	-0.003387146	0.011868116	-0.004760584	0.001197068	T2CK	T2	CK
T.T2CK.2	0.159837297	-0.218152135	-0.1372746	0.031879409	-0.125591784	-0.034456529	-0.103821987	-0.027113823	0.076783697	0.013166428	0.003075671	-0.009431351	0.042324958	-0.002306254	-0.018698614	-0.023357178	0.024294973	-0.027988397	0.015463719	-0.002996114	-0.027291763	-0.022731386	0.014828634	0.009245721	-0.009186231	-0.010518165	-0.004642001	0.007857382	-0.004113013	-0.014156335	0.002422	-0.009183359	-0.003136229	-0.014186996	-0.011631592	0.018401184	0.022830871	0.037485568	-0.010271223	-0.001631038	-0.003653211	-0.009375305	7.75E-05	-0.002390492	-0.005638581	-0.024111652	0.008237569	0.008408895	0.003134265	-0.001262169	T2CK	T2	CK
T.T2CK.3	0.13094599	-0.195829871	-0.110245977	0.002121767	-0.095093279	-0.017375977	-0.116393026	-0.029709869	0.056189103	0.059117999	0.016197774	0.010229886	0.010217754	-0.024749396	0.006933495	-0.031051803	-0.014376785	0.000635144	0.050576323	-0.03133893	0.008429243	0.024526778	-0.048708261	-0.038885884	-0.019298738	-0.002548181	0.00432004	-0.024145809	0.024598272	-0.018100949	-0.012419853	-0.00156087	-0.005618331	0.00203137	0.006238764	0.00530455	-0.025272783	-0.017631395	0.009246893	0.017841516	-0.008330218	0.000229647	-0.005378118	0.004539322	0.003787994	0.010741353	-0.005437516	-0.005498377	-0.004086815	0.000521903	T2CK	T2	CK
T.T2CK.4	0.118450793	-0.247251462	-0.121988075	0.016342819	-0.133451981	-0.02754107	-0.087395473	-0.010559214	0.044711923	0.012206518	-0.010649587	-0.029339565	0.028958442	-0.000388978	0.010605602	0.000180855	-0.006387023	0.02601026	-0.020546621	0.006317489	-0.003674775	-0.021494368	0.01060943	0.019886995	0.024797155	0.016871772	-0.007053779	0.00884633	-0.01478026	0.03650798	0.014151053	0.024385132	0.023141859	0.004362618	0.004418868	-0.045946072	0.010099364	-0.025217627	0.013453824	-0.008444203	0.015874308	0.012892594	0.009479465	-0.003475252	0.005768748	0.002347155	-0.006245261	-0.003871271	0.00338249	0.000468571	T2CK	T2	CK
T.T2B.1	0.389411515	0.051084306	0.051660458	0.01156647	0.006275487	-0.008928089	0.088219515	-0.042523489	0.042323791	0.023245975	0.028156669	0.099779438	0.00026804	0.035413767	-0.04944689	0.061698866	-0.01007794	-0.039626851	0.045880386	-0.043878392	-0.017431058	0.002072086	0.006841546	-0.002720924	0.020682539	0.03864455	-0.002857299	0.001031881	-0.026520273	0.008289582	-0.012572152	-0.002064586	0.002051572	-0.0042286	-0.007243861	-0.002409348	0.001505543	-0.006220004	0.006143063	-0.003329171	0.003126772	-0.002478522	-0.002411577	0.000926074	0.010193064	0.008000929	0.005299313	0.003632945	0.004187437	0.001282947	T2B	T2	B
T.T2B.2	0.379190204	0.079631535	0.098670868	-0.073280447	0.083887512	0.063719636	-0.049016648	-0.064337822	0.062410731	0.066927126	0.070808776	0.074456582	-0.046871955	-0.001554713	0.037209945	0.0065536	0.000531505	0.025308634	-0.021841702	0.014031257	0.015246621	0.009383017	0.045932208	0.026182648	-0.016592855	-0.009764242	-0.006699102	-0.007758323	0.005799118	0.00035747	0.006017895	0.00641242	-0.015252063	0.003112657	0.00039627	-0.00876563	-0.007981512	-0.000195052	0.001498121	0.002932187	-0.000515069	0.004470855	0.011991099	0.001020977	-0.003477946	-0.018177381	-0.010166853	0.000151136	-0.006735001	-0.003267049	T2B	T2	B
