	T.T3CK.1	T.T3CK.2	T.T3CK.3	T.T3CK.4	T.T3B.1	T.T3B.2	T.T3B.3	T.T3B.4	T.T3J.1	T.T3J.2	T.T3J.3	T.T3J.4	T.T3ML.1	T.T3ML.2	T.T3ML.3	T.T3ML.4
Bacillus	2070	1643	1773	2049	3635	2829	2912	2615	2969	3177	2546	2601	2218	2349	2580	2289
Ureibacillus	129	85	208	199	381	157	119	182	89	132	184	312	312	135	95	116
Streptomyces	1615	1123	899	1208	699	2415	2409	2607	2339	2486	3105	3321	557	1619	1725	1953
Rhodococcus	15	21	26	163	41	43	76	87	37	35	39	26	14	24	26	25
Meiothermus	1570	1263	1049	1598	475	645	549	699	353	450	345	316	695	797	706	959
Actinomadura	277	161	170	197	510	366	701	393	422	359	633	463	263	177	254	185
Acinetobacter	31	17	19	195	22	53	36	53	40	45	9	35	13	20	17	21
Lysinibacillus	62	67	94	83	127	104	115	138	91	171	100	88	79	83	80	73
Flavobacterium	11	19	10	3	6	4	3	9	12	11	15	11	17	12	13	4
Brevibacillus	1100	144	415	260	198	211	173	237	241	186	241	164	220	198	206	238
Vulcaniibacterium	2080	1313	1131	1178	1228	1528	1520	1381	1071	1171	1174	769	902	916	932	1043
Marmoricola	759	1081	885	1228	1294	888	1334	1221	850	948	807	1356	1984	1271	2035	2543
unidentified_Rhizobiaceae	153	260	156	108	129	284	151	342	236	432	244	379	151	148	145	186
Thermoactinomyces	66	26	20	40	91	40	228	69	191	66	124	61	17	23	44	30
Microvirga	1723	1282	1213	896	1385	1051	1052	1058	980	1025	1221	1472	1117	1088	1180	1006
Luteimonas	540	495	548	635	1040	1814	2029	1523	1393	1276	1636	1242	452	779	683	602
Klebsiella	89	98	146	98	57	95	76	47	217	149	141	123	32	75	73	24
Gemmatimonas	519	771	939	966	1008	580	665	542	728	461	795	442	1371	2192	1706	1081
Fictibacillus	111	76	46	54	71	100	68	92	54	46	52	34	41	73	60	72
Sphingomonas	826	1413	1035	700	486	775	522	462	766	984	829	616	586	683	445	371
Hazenella	359	286	490	346	1773	1724	1154	1368	1062	941	579	728	292	383	342	246
Paenibacillus	236	123	124	110	218	223	167	262	187	211	247	172	165	195	174	234
Chryseobacterium	10	11	12	14	3	8	2	14	12	7	25	15	4	19	2	3
Olivibacter	38	24	28	2	1	13	1	1	7	9	4	3	3	1	5	3
Pseudoxanthomonas	219	221	249	369	479	629	595	786	677	606	798	776	342	373	500	448
Massilia	348	478	496	441	463	198	248	545	330	246	357	375	677	378	551	641
Ramlibacter	420	651	557	585	688	460	428	425	595	513	484	507	1238	1076	1220	698
Lysobacter	1073	992	1002	1064	1416	1273	1265	1158	1156	1036	1387	1168	1043	978	1326	926
Saccharomonospora	285	64	111	59	535	742	353	456	529	280	380	404	109	176	117	116
Chitinophaga	54	73	82	107	131	169	199	211	271	259	278	201	82	80	100	119
Stenotrophomonas	135	110	179	7	9	23	11	19	24	21	17	14	13	28	22	13
Nocardioides	929	1121	1055	1076	1095	914	1414	976	959	1034	911	984	1198	887	1051	1178
Sphingobacterium	88	58	59	7	7	13	14	12	8	18	10	13	3	5	11	4
Anseongella	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0
Pseudomonas	125	173	144	251	329	311	308	611	451	360	677	540	162	132	171	160
Cupriavidus	41	53	173	33	78	30	33	49	32	110	42	40	63	42	39	33
Novosphingobium	23	17	35	21	10	10	18	22	20	18	26	13	25	27	24	26
Sphingobium	12	53	26	9	22	16	18	14	25	73	66	85	65	66	65	85
Arthrobacter	97	78	49	61	25	32	35	50	56	43	44	60	70	87	100	78
unidentified_Acidobacteria	560	613	588	451	292	227	222	245	289	265	297	228	483	464	345	445
Domibacillus	38	49	41	45	150	53	60	62	63	61	67	36	63	49	61	36
Micromonospora	253	193	183	185	709	432	392	438	571	442	305	459	251	364	308	291
Sphingopyxis	10	16	14	7	14	16	9	19	20	23	19	19	11	12	13	10
Gaiella	335	267	340	286	150	111	102	137	111	106	138	94	226	220	170	226
Geobacillus	27	22	13	22	71	10	22	25	46	38	57	35	22	20	31	43
Brevundimonas	238	407	288	328	297	357	243	385	385	377	533	476	335	400	436	385
Bordetella	18	14	17	19	15	29	36	41	42	52	43	40	7	13	15	16
Solirubrobacter	301	324	411	371	124	100	146	109	134	133	148	110	245	191	188	243
unidentified_Gammaproteobacteria	345	320	459	334	254	198	196	186	228	208	215	250	388	333	246	275
Shimazuella	69	64	84	34	94	127	66	163	84	107	102	118	72	97	59	119
Thermomonas	173	151	146	209	449	697	430	856	748	506	913	589	155	207	151	233
Flavisolibacter	577	609	545	448	432	284	353	407	405	467	318	341	555	453	536	453
Tepidimicrobium	32	34	19	40	33	41	29	56	35	34	43	49	20	21	28	41
Amycolatopsis	3	3	11	7	7	3	3	6	10	3	3	11	6	8	10	21
Cellvibrio	23	33	12	30	11	14	21	22	31	48	49	44	36	17	27	31
Nonomuraea	55	32	59	38	52	95	84	65	99	117	90	110	30	42	77	54
Shinella	62	95	64	109	104	201	91	207	150	171	201	205	107	105	88	125
Parapedobacter	10	11	5	8	5	21	10	20	18	9	14	16	6	4	5	8
Microbacterium	53	48	25	25	49	66	63	63	45	77	72	38	45	56	59	42
Phenylobacterium	379	492	547	366	516	389	329	374	515	398	426	508	353	375	445	359
Planifilum	3	1	0	4	1	5	5	4	4	2	4	3	4	11	5	5
Ensifer	38	44	36	11	29	33	29	69	38	39	35	50	38	35	37	31
Dyadobacter	4	6	0	1	1	0	1	1	1	8	2	3	9	4	10	6
Methylobacillus	39	45	32	40	33	27	53	44	89	79	65	79	48	55	65	46
Devosia	151	129	157	141	169	204	180	244	251	317	362	457	177	190	214	181
Altererythrobacter	203	369	299	304	229	253	265	426	317	621	536	585	285	307	321	285
Schlegelella	419	222	204	175	140	99	99	85	74	59	104	90	116	108	97	91
Glycomyces	3	0	1	2	1	2	9	2	2	15	2	1	0	1	0	1
Lihuaxuella	6	2	3	3	5	1	1	4	4	1	3	2	8	1	2	1
Ochrobactrum	17	21	15	16	43	80	49	53	33	75	27	54	29	21	16	23
unidentified_Cyanobacteria	27	89	44	27	22	26	15	33	22	20	20	28	70	86	50	79
Fluviicola	1	1	2	2	2	2	2	10	1	4	3	2	4	3	2	0
Xenophilus	11	4	8	1	2	0	2	1	4	5	1	0	3	4	1	4
Diaphorobacter	68	67	62	114	178	98	127	177	181	136	198	193	81	62	86	89
Saccharopolyspora	0	3	1	8	5	12	20	0	3	5	0	2	2	2	3	2
Pseudaminobacter	149	186	123	143	314	368	329	335	252	463	293	510	188	205	205	196
Microbispora	76	45	69	103	48	60	31	14	41	59	54	23	59	85	75	39
Taibaiella	5	1	4	4	2	3	1	2	0	17	1	1	1	0	4	3
Lactobacillus	0	1	0	10	0	0	1	0	0	0	0	0	0	5	1	0
Rubrobacter	187	102	48	204	35	35	42	33	39	67	53	32	46	110	56	38
Candidatus_Entotheonella	54	43	65	61	17	13	16	20	18	10	12	18	24	21	15	34
Steroidobacter	230	185	274	268	252	275	359	288	329	354	401	414	356	239	322	230
Lechevalieria	13	13	20	11	5	3	6	3	14	22	21	20	25	21	23	33
unidentified_Clostridiales	158	147	101	105	292	374	203	265	336	282	225	315	163	166	156	151
Haliangium	198	125	189	151	154	136	108	93	163	112	96	99	243	207	110	158
Ammoniphilus	35	38	39	42	86	26	57	77	65	60	55	60	75	59	94	91
Neisseria	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
Tumebacillus	90	63	57	62	69	199	67	182	32	98	40	111	61	53	41	61
Caldibacillus	18	4	0	11	7	12	11	12	28	10	13	10	6	6	7	17
Prauserella	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Rummeliibacillus	6	2	1	2	48	12	4	6	14	25	6	9	5	7	3	4
Lacunisphaera	56	48	52	76	82	170	139	182	174	172	142	95	50	63	74	63
Dongia	36	20	21	20	30	19	19	13	21	20	16	17	34	46	24	46
Myroides	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0
Cronobacter	2	0	2	9	0	1	5	1	4	11	5	5	1	0	0	2
Dokdonella	15	19	31	25	58	68	26	56	45	81	79	79	25	28	43	24
Paracoccus	34	43	22	24	23	50	23	32	30	46	28	36	36	56	39	54
Symbiobacterium	33	36	16	35	85	54	58	59	42	34	53	50	28	48	49	44
Truepera	2	8	10	4	17	6	24	9	6	7	11	12	8	4	11	12
Castellaniella	52	76	63	77	100	224	330	293	294	116	316	237	43	58	78	99
Pseudoduganella	9	19	18	15	28	6	8	10	9	10	2	10	55	17	26	37
Actinophytocola	19	9	19	7	9	8	67	6	9	8	12	14	26	11	26	26
Tahibacter	3	10	1	4	6	5	25	2	32	22	12	29	22	21	24	14
Niabella	2	2	8	3	7	0	1	0	29	13	2	12	34	9	7	6
Thermobispora	5	3	6	7	10	23	4	25	2	1	3	6	10	23	12	23
Acidipila	0	0	0	17	0	0	0	0	0	0	1	0	0	0	0	0
Cutibacterium	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0
Pontibacter	101	154	131	143	114	127	129	221	97	178	138	122	72	56	72	68
Chelativorans	16	9	11	7	26	20	38	25	17	32	11	20	8	12	21	16
Woeseia	3	2	2	7	2	2	14	1	0	4	2	0	1	0	3	5
