	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
H.T2CK.1	-0.37870463	-0.14145824	-0.059303243	0.089969898	-0.04351347	0.076802905	0.029903138	-0.008997284	0.009892521	-0.004145776	0.011309347	0.006249381	-0.010265011	-0.00209076	0.003057479
H.T2CK.2	-0.411320845	-0.102582966	-0.006915909	-0.030181208	-0.00352939	-0.096836928	0.060602735	-0.031219511	-0.023581106	0.016786241	0.018933288	0.00333451	0.008472764	-0.007073746	0.00412533
H.T2CK.3	-0.435527561	-0.048052848	0.019238724	-0.018794387	0.01576874	-0.02399351	-0.027662531	0.053364201	0.057212583	-0.058988406	-0.031065432	-0.001117469	0.011164514	0.00202865	-0.005944133
H.T2CK.4	-0.424527493	-0.032457333	0.020004152	-0.064194454	0.038475561	0.046607001	-0.069450425	-0.002914129	-0.036410524	0.056723144	-0.006011955	-0.006101964	-0.009454648	0.006161514	-0.000139284
H.T2B.1	0.248364635	-0.086754739	0.041684351	-0.015969734	0.039945684	0.021123436	-0.003122744	-0.009072023	-0.056898497	-0.069157345	0.019131873	0.025811548	0.005874415	0.018994223	0.010834663
H.T2B.2	0.230743175	-0.038301598	0.024700151	0.00508626	-0.048056008	0.001285134	0.013911621	0.069760811	-0.0315198	0.014097939	0.000412361	-0.054649417	0.014475814	-0.001826409	0.014962761
H.T2B.3	0.215739065	-0.074514085	0.091729773	0.012702782	-0.05816121	-0.018541589	-0.030898237	-0.016315407	0.01487607	0.006516147	0.031611747	-0.008891626	-0.00605704	0.011751977	-0.031689574
H.T2B.4	0.25261409	-0.041027951	-0.060413572	-0.030599648	0.000472098	-0.008400568	-0.04948122	-0.050039076	0.025891619	-0.031651281	0.00675956	-0.02907893	-0.021914521	-0.028997476	0.010991883
H.T2J.1	0.284231026	-0.038167799	-0.044241624	-0.019954935	0.100392269	0.012244825	0.06184891	0.038316317	0.032846887	0.023126436	0.016820456	-0.003068011	-0.021856443	0.002730685	-0.010536248
H.T2J.2	0.258322426	-0.06922845	0.118819619	0.053445811	0.03398643	-0.001224299	0.00179793	-0.019122906	0.012281987	0.033321257	-0.044896881	0.023337571	0.012127018	-0.020446741	0.006417034
H.T2J.3	0.205530192	0.020430259	-0.080558992	-0.041026472	-0.071137719	-0.006831007	0.010849076	0.025697709	-0.038578903	-0.000402015	-0.042283041	0.037186048	-0.018456802	-0.007738637	-0.011890417
H.T2J.4	0.232562774	0.000977272	-0.086722803	-0.024361	-0.024959493	0.001888408	-0.009110406	-0.031344246	0.049995817	0.029679386	-0.008534824	0.008035859	0.032664167	0.030556056	0.010677246
H.T2ML.1	-0.022116162	0.128432921	-0.08280341	0.055756169	0.049669222	-0.000423776	-0.016045002	-0.013549877	-0.040262864	-0.010228396	-0.000536911	-0.01572287	0.035048298	-0.011163562	-0.020572233
H.T2ML.2	-0.06797119	0.150401881	0.000836706	0.079676062	0.012813476	-0.057872487	-0.021672714	-8.78E-05	-0.00711803	0.003306763	-0.011116011	-0.004829559	-0.036448575	0.023591629	0.011333992
H.T2ML.3	-0.050367807	0.17131133	0.024311282	-0.005485458	-0.021246922	0.00550842	-0.021273602	0.036789787	0.021750685	0.011455831	0.054682265	0.039716577	0.00803211	-0.018674463	0.010184024
H.T2ML.4	-0.137571694	0.200992345	0.079634796	-0.046069687	-0.02091927	0.048664036	0.06980347	-0.041266534	0.009621555	-0.020439926	-0.015215844	-0.020211649	-0.003406061	0.002197061	-0.001812523
