#OTU_num	T2CK	T2B	T2J	T2ML
OTU_1	1159.75	4265.25	5199.75	3429.5
OTU_2	1806.75	4247.5	5220.5	6580.75
OTU_3	841.75	3134.75	2218.5	2209.25
OTU_4	230.25	710.5	1528.25	279.75
OTU_5	4174.25	469.75	229.75	1472.5
OTU_6	561.75	3212.5	2846	1114
OTU_7	2059.25	332.25	150.75	345
OTU_8	466	394.25	728	352.25
OTU_9	375	116.25	92	119
OTU_10	570.25	174.75	201	257.75
OTU_11	496	155.75	267.75	364.25
OTU_12	360.5	1309.25	1760.5	927
OTU_13	266.25	71	82.25	232.75
OTU_14	113.25	77.25	31	32.5
OTU_15	43.75	34.25	31	48
OTU_16	67.75	78.5	26.25	42.25
OTU_17	432.25	2358.5	3612.25	857.75
OTU_18	44.75	21.5	14.75	19.75
OTU_19	27.25	39.25	20.75	23
OTU_20	8	45	4.5	24.75
OTU_21	54.75	54.25	22.25	31.25
OTU_22	38.25	27.25	54	33.5
OTU_23	193	86.5	74	198.25
OTU_24	227.25	133.5	77.5	155
OTU_25	55.25	19.75	21.25	29.5
OTU_26	381.25	264	229.25	270.75
OTU_27	166	102	38.75	58.75
OTU_28	131.5	132.75	114.75	106.75
OTU_29	134	92	58	83.25
OTU_30	41.5	49.75	36.75	41.5
OTU_31	58.5	36.75	12.75	9.25
OTU_32	326	1875.25	1006.75	345.5
OTU_33	41.5	25	21	27.25
OTU_34	21.5	22.25	10.75	13
OTU_35	82.25	32.5	30.75	47
OTU_36	237.25	188	124.75	44.5
OTU_37	156.25	43.25	37.5	39
OTU_38	179.75	51.5	33.75	66
OTU_39	37	7.5	8.5	27.5
OTU_40	35.75	31.75	18.75	15.5
OTU_41	69.75	33.5	30.25	28
OTU_42	71.25	47.5	25	19.75
OTU_43	17.25	7.75	8.75	8.5
OTU_44	20	13.25	16.5	20.75
OTU_45	102	40.5	31	58.25
OTU_46	176.5	420	398.75	903
OTU_47	31.25	36	20.75	25.25
OTU_48	436.75	88	63	105.75
OTU_49	34.5	36.25	23	32.75
OTU_50	207.5	66.25	53.25	58.75
OTU_51	68.25	19.75	18	24.25
OTU_52	93	846	121.5	138.75
OTU_53	64	61.5	110.5	99.75
OTU_54	51.5	33.75	25.25	55.25
OTU_55	72	62.25	42.25	1
OTU_56	412.75	291	435.25	221.75
OTU_57	6.5	10.25	6.25	2.75
OTU_58	29.75	30	10.75	9.75
OTU_59	14	14.25	2.75	4
OTU_60	45.25	35.25	34.25	21
OTU_61	28.75	23.75	7.25	24.75
OTU_62	129.75	85	50	58
OTU_63	94.75	66.25	77.5	116.25
OTU_64	452.75	60.25	78.25	348.5
OTU_65	182.25	131.75	49.5	9.5
OTU_66	51.25	42.5	35.25	52.25
OTU_67	75.75	33	24.5	71
OTU_68	76.25	38.75	34.5	33
OTU_69	140	87.25	39.25	44.5
OTU_70	24.5	20.75	7	0.5
OTU_71	30	40	17.5	32.5
OTU_72	0.75	0	0	0
OTU_73	224.5	51.25	46.75	139.75
OTU_74	159.5	62.5	37.25	60.25
OTU_75	17	10.75	16.5	13.25
OTU_76	11.5	15	5.5	7.25
OTU_77	1.25	1.5	0	0
OTU_78	5	10	4	4.25
OTU_79	3.5	10.5	4.25	2.5
OTU_80	137.5	38	33.75	95.75
OTU_81	45.5	204	245.5	75
OTU_82	79	51.5	63.75	760.25
OTU_83	16.75	15.75	11.75	14
OTU_84	131	36.25	36.25	109.75
OTU_85	70.25	213.5	274.5	408.75
OTU_86	33.75	12	11	21.5
OTU_87	74.5	19.25	16.25	32.75
OTU_88	22.5	23.75	12.25	13.5
OTU_89	50	17.5	13.5	26.25
OTU_90	3.25	3.75	1.5	0.5
OTU_91	1	2	0.75	0.25
OTU_92	97.75	49.5	45.5	64.75
OTU_93	43.75	20.5	15.75	26.25
OTU_94	224.5	71.5	75.5	159.25
OTU_95	112	21.75	24.5	47.75
OTU_96	5.75	7.75	6	11.5
OTU_97	64	16	16.25	24
OTU_98	99.5	27	22.75	35.25
OTU_99	81.5	30.25	25.25	53.25
OTU_100	16	32	19	55.25
OTU_101	53.5	26.5	30.25	73
OTU_102	70.75	39.5	22.5	36.5
OTU_103	21	20.25	12.75	13.25
OTU_104	14.75	13.75	7.75	9.25
OTU_105	32	18.25	20.5	36
OTU_106	18.5	24.75	21.75	15
OTU_107	12.75	3.5	2.25	2.5
OTU_108	93.25	55	45.5	66.25
OTU_109	15.25	5.25	7	5.5
OTU_110	124	108.75	209.25	260
OTU_111	25.5	28.25	15.25	14
OTU_112	463.25	42.5	14.75	101.75
OTU_113	64.25	26.25	32	39.5
OTU_114	0.25	0.25	0.25	0
OTU_115	201.5	94.75	74.75	159.5
OTU_116	13	17	12	13.25
OTU_117	95.5	27.5	25.75	53.75
OTU_118	156	54.25	44.5	132.5
OTU_119	48.25	17.25	15.25	36.75
OTU_120	11.25	3.25	2.25	7.75
OTU_121	1.5	0	0	0.25
OTU_122	104.5	34.75	21.5	38.25
OTU_123	92.75	29.75	21.25	49.75
OTU_124	11	11.75	3.5	5.75
OTU_125	9.5	7	5.75	2.75
OTU_126	19.5	23.5	9.75	14.75
OTU_127	10.75	8.25	3	5.75
OTU_128	49.5	144.25	298.25	166
OTU_129	102.75	35.5	21.5	32.5
OTU_130	51	150.25	206.25	263
OTU_131	43.5	18.5	12.25	16.5
OTU_132	31.75	17.75	6.25	15.5
OTU_133	27.5	22.75	16.5	13.75
OTU_134	2.25	5.25	0.25	3.5
OTU_135	12	12.75	9.25	8.5
OTU_136	30	11	17	16.75
OTU_137	14.75	7.5	8	8.25
OTU_138	79	57	24.5	42.75
OTU_139	11	26	25.5	24.25
OTU_140	56.75	13	14	49.75
OTU_141	15	11.25	6.75	6.25
OTU_142	42.5	12.25	13.5	33.75
OTU_143	72.25	20.75	15.5	51.75
OTU_144	36.25	37.25	22.5	27.5
OTU_145	39	187	218.5	68.25
OTU_146	51	55.25	31	1.5
OTU_147	43.5	32.5	14.25	20.25
OTU_148	15	8.5	9.5	7.5
OTU_149	67.75	16	11.5	111.75
OTU_150	8	10	2	1.5
OTU_151	11.25	3.25	7.5	8.25
OTU_152	34.25	20	9.25	17
OTU_153	14.75	11.5	3.5	12.5
OTU_154	21	22.5	10.25	8.5
OTU_155	66.75	65.75	82.5	109.75
OTU_156	31.25	15.75	11.75	25.75
OTU_157	18.5	25.5	22	32.25
OTU_158	10.5	8	8.5	6.75
OTU_159	44.75	19	10	13.75
OTU_160	49.5	82	79	34.5
OTU_161	15.25	8.5	11.25	16
OTU_162	58.5	16	13.75	37.25
OTU_163	3	0.25	2.25	2.25
OTU_164	7	3.25	2.25	6.5
OTU_165	9.75	7.5	3.75	0
OTU_166	165.5	36.5	29.25	243.75
OTU_167	21.25	24.25	7.75	1
OTU_168	16.75	46.75	25.25	10.5
OTU_169	1.25	0.5	0	0
OTU_170	56.75	15.75	13.25	41
OTU_171	20.75	10.75	14.75	111.25
OTU_172	122.5	60.75	93.75	91.25
OTU_173	13.25	4.75	6.75	12.25
OTU_174	22.75	99	152.75	31.5
OTU_175	47.75	14.25	17.5	38.75
OTU_176	13	55	25.5	13.25
OTU_177	6	7.25	6	6.25
OTU_178	5	7	10.25	73.75
OTU_179	11.25	10.75	4.5	10.5
OTU_180	14	9.25	9.5	12.25
OTU_181	8	8.75	6.75	7.75
OTU_182	2.5	5.5	1.25	3.75
OTU_183	31	14.5	14.75	21
OTU_184	23.25	10	12.5	20.75
OTU_185	48	23.75	31.75	41.25
OTU_186	12.75	5	5	4
OTU_187	12.25	4.5	7	4
OTU_188	8.5	8	1.75	6.5
OTU_189	8.25	4.75	2.75	6.75
OTU_190	12.5	8.75	6.5	7.25
OTU_191	20.25	9.5	9.25	8
OTU_192	36.25	18.5	15	33.5
OTU_193	14	1.25	6.75	2
OTU_194	1	1	0	0.5
OTU_195	0.5	1	0	0
OTU_196	67	19.25	20	49
OTU_197	12	3.5	6.5	9.5
OTU_198	39.5	11.75	11.75	31
OTU_199	36	22.75	16.5	20.25
OTU_200	11	20	27.5	13.25
OTU_201	130	16.75	7.5	17.5
OTU_202	2.25	0.25	0.5	0.5
OTU_203	19.25	12.75	10.25	11.75
OTU_204	21.25	13.5	7	7.5
OTU_205	38.5	37.25	39.75	39
OTU_206	197.5	64	42.25	70.25
OTU_207	38	11	8.5	11
OTU_208	1.25	2.5	2.75	0
OTU_209	7.75	5.5	1.25	1.25
OTU_210	9.5	7.75	4.75	6.75
OTU_211	22.25	15.25	10.5	10.75
OTU_212	10.5	7.5	9.75	8.5
OTU_213	14	7	7.5	15.75
OTU_214	133.5	15.25	9.25	64.75
OTU_215	21.5	15.25	14.25	20
OTU_216	37.5	12.25	8.25	14.75
OTU_217	137.75	11.25	10.25	48.25
OTU_218	10.5	10.75	7.5	5.5
OTU_219	8.25	4.5	5	4.25
OTU_220	12.75	3.5	3.5	8
OTU_221	33.25	19	13	6
OTU_222	10.25	6	5	4
OTU_223	2	0.5	1.25	0.75
OTU_224	31.25	15	9	17
OTU_225	2.75	7.25	0.75	4.25
OTU_226	19.5	6.25	6.25	11.25
OTU_227	5.75	1.75	1.75	17.75
OTU_228	9.25	5	3.5	5.5
OTU_229	9.75	8.75	3.75	4.25
OTU_230	5.75	2.75	4.75	4.75
OTU_231	3.25	2.5	3.25	0.5
OTU_232	3.25	0.75	1.25	2.75
OTU_233	65.5	24.75	22.5	30.5
OTU_234	1.5	0.25	0	0
OTU_235	15.25	8.5	6.25	9.5
OTU_236	0.75	0	0.25	0
OTU_237	19.25	17.75	8	10.75
OTU_238	20.25	6.25	5.75	20.25
OTU_239	2.75	2	0.25	0.75
OTU_240	4.25	3.5	3	4
OTU_241	4.75	2.5	1.5	3
OTU_242	176	17.25	13.75	100.5
OTU_243	18.25	7.5	7.25	12
OTU_244	6.75	9.5	1.75	5.25
OTU_245	1.75	3.5	0	3
OTU_246	0.75	0.25	0	0
OTU_247	0	0	0	0
OTU_248	8.5	13	8.5	7.25
OTU_249	0.5	1.25	0	0
OTU_250	0.75	1.5	1	0
OTU_251	14.25	11.5	9	5
OTU_252	9	1	3	1.5
OTU_253	29.75	14.5	10.75	17.75
OTU_254	39.75	27.75	19.75	28.75
OTU_255	9.25	3.75	7	4.5
OTU_256	13	7.25	5.5	6
OTU_257	17.5	12.25	4.5	9
OTU_258	51	17.75	16.75	15.5
OTU_259	20.25	5.5	5.5	7.75
OTU_260	25.25	14.5	11	22.25
OTU_261	32.75	6.5	3.5	12
OTU_262	103	43.75	28.5	35
OTU_263	10	5	3.25	2.25
OTU_264	4.75	2.5	2	2.25
OTU_265	10.5	6.25	4	6.5
OTU_266	22.25	9.75	7.25	15
OTU_267	36.75	12.25	16.25	21.25
OTU_268	6.5	9.5	4	6.75
OTU_269	70	7.5	5	18.25
OTU_270	0.25	0.25	0.5	0.5
OTU_271	159.25	57	28	59.25
OTU_272	5.5	1.75	1.5	0.75
OTU_273	23.75	10	6	12.25
OTU_274	20.5	12	8	10.5
OTU_275	1.25	3	0	0.25
OTU_276	63.75	40.5	25.25	41.25
OTU_277	6.25	3.5	6.25	3.75
OTU_278	16.25	8.5	8.25	9.5
OTU_279	24.25	10.75	7.75	8
OTU_280	0	0.75	0	0
OTU_281	11	2.75	3	11
OTU_282	18.75	43.5	23	16.75
OTU_283	6.5	10.75	15	10.25
OTU_284	49.5	19.5	20.75	46
OTU_285	10.25	6.25	5.25	12.25
OTU_286	12.25	4	5.5	4
OTU_287	3.5	2	0.75	1.5
OTU_288	32.5	9.5	5.5	8
OTU_289	5.5	4.25	1.25	2.25
OTU_290	56	14.5	10.25	45
OTU_291	11	5.25	3	4.5
OTU_292	24.75	14.5	13.25	18.5
OTU_293	29.75	12	9.5	7.5
OTU_294	77.25	21	20.5	61.5
OTU_295	7.25	5.25	1.75	4
OTU_296	11	15	7.75	12.5
OTU_297	3	4.5	2	2.5
OTU_298	34	10.5	16.5	31
OTU_299	58.5	32	30.5	30.25
OTU_300	41.75	17.25	8	11.25
OTU_301	24.75	7	5.5	26.5
OTU_302	9	5	5.25	4.25
OTU_303	19	7.5	5.25	13.5
OTU_304	31.25	7.75	9.5	11.25
OTU_305	1.75	4.25	3.25	4.75
OTU_306	3	4	1	0.75
OTU_307	14.5	50.25	55.25	20.5
OTU_308	13.25	12.25	5.25	5.5
OTU_309	13.25	4.75	2.25	6.25
OTU_310	20.75	8	2	4.75
OTU_311	0.25	2.5	0.5	1
OTU_312	2.25	0.75	0.5	0.5
OTU_313	23.25	4.75	1.25	1.5
OTU_314	2.5	4	1.25	1.75
OTU_315	0.75	0.5	1.75	0
OTU_316	21.25	3.75	4	4.5
OTU_317	48.5	29	23	44.25
OTU_318	58.75	42.5	40.75	118.25
OTU_319	22.75	10.75	9.75	13.75
OTU_320	6	2	2	2.25
OTU_321	22.25	8	6.75	7.75
OTU_322	12.25	57	46	16.5
OTU_323	17.75	5.75	1	2
OTU_324	9.25	2.25	2	3
OTU_325	26	9	5.5	7.75
OTU_326	29.25	11.5	14.25	18
OTU_327	4.75	2.75	2	1
OTU_328	8.5	9	2.75	6
OTU_329	14.5	6.75	2.5	6
OTU_330	13.5	6.5	6.25	2.25
OTU_331	20.75	11	28.25	38.25
OTU_332	8.75	5	4.75	6
OTU_333	2	1.75	0.5	4
OTU_334	13	9	4.75	6.75
OTU_335	2.25	0.5	0.75	0
OTU_336	8	3.5	1.5	5
OTU_337	16	6.75	2.5	6.25
OTU_338	4	6	1.25	1.5
OTU_339	7.5	2.75	1.25	2.5
OTU_340	12	8.5	6.5	7
OTU_341	29	12	4.75	11
OTU_342	3.5	3.75	2.25	3.5
OTU_343	15.75	5.75	5	5.75
OTU_344	55.25	6.5	2.25	23.25
OTU_345	11.75	6.5	3.75	5
OTU_346	18.25	4.25	2.25	7.5
OTU_347	14.25	8.25	5.75	31.75
OTU_348	3.5	6	1.25	2.25
OTU_349	4.75	5.75	2.75	4
OTU_350	1	0.5	0.25	1.25
OTU_351	26.25	8.5	8.25	17
OTU_352	20.5	11.5	6.75	10.5
OTU_353	4.25	2	1	4.25
OTU_354	17.75	8.25	6	9.5
OTU_355	22.5	13.75	8.5	7
OTU_356	4.25	1	0.5	1
OTU_357	3	14.75	7	5
OTU_358	17.5	5.5	4.5	5.75
OTU_359	52.5	8	3	4.75
OTU_360	2.75	0.5	0.25	0.25
OTU_361	11.25	3.25	1.25	3.75
OTU_362	19.75	5.25	4	16.75
OTU_363	17.25	5.75	4.25	11.5
OTU_364	3.5	1	1.25	1.75
OTU_365	0	0.25	0	0
OTU_366	3.5	22.25	32.5	7.5
OTU_367	20.75	8.25	8	15
OTU_368	3	1.75	0	0.25
OTU_369	13.5	27.5	93.25	22
OTU_370	2.5	1.5	1.75	0
OTU_371	2.75	3.25	1.75	1.25
OTU_372	11.25	4.75	6.25	8.5
OTU_373	14.5	4.25	4	9.75
OTU_374	6	6.5	0.5	0
OTU_375	0	3.75	0	1
OTU_376	3.25	3.5	3.25	2.75
OTU_377	5	29.25	38	13.25
OTU_378	4.25	0	0	0.25
OTU_379	4.5	2.75	1.25	4.25
OTU_380	5.25	5.75	2.75	4.5
OTU_381	9	4	1.75	4.75
OTU_382	28.25	13.25	4.75	8.25
OTU_383	0	0.5	0	0
OTU_384	24.25	9.25	10.75	14.5
OTU_385	9.5	6.5	7.5	5.25
OTU_386	10.75	15	6.5	4.25
OTU_387	69.5	26.25	12	17
OTU_388	34	9.5	5.75	15
OTU_389	3.75	5	1.25	2.5
OTU_390	4.75	3.25	3.25	3
OTU_391	29	10	5.5	11.75
OTU_392	0	0.25	0	0
OTU_393	52.25	6.25	5	18.25
OTU_394	11.25	5.75	3.25	8
OTU_395	53	9.75	2.5	1
OTU_396	2.5	2	4	2.75
OTU_397	11	7.5	5.75	5.5
OTU_398	4.25	5	1	2.25
OTU_399	1	2.75	0	1.5
OTU_400	1.5	2.25	0.5	0.75
OTU_401	52.75	79.5	78.25	191.5
OTU_402	25.5	7.25	5.25	12.25
OTU_403	7.5	3	1.25	4.25
OTU_404	6	4	1.5	4
OTU_405	11	4.75	4.75	5.5
OTU_406	3.5	2.5	2	0.5
OTU_407	5.25	1	1.75	4.5
OTU_408	19.5	6.75	4	14.75
OTU_409	63	61.25	99	167.25
OTU_410	13.75	3.5	3.75	9.5
OTU_411	25.25	10.5	5	19.5
OTU_412	14.75	117	32.25	21.75
OTU_413	5.5	0.75	0.25	0.75
OTU_414	11.5	3.75	4.5	4
OTU_415	3.25	2.25	4.5	2
OTU_416	7.75	2	1.25	1.5
OTU_417	17.5	5.25	4.5	19.75
OTU_418	8	4	5.5	5.25
OTU_419	3.5	2.25	1	0.5
OTU_420	23.75	8	5.75	5
OTU_421	7	4.75	4.25	0.5
OTU_422	12.75	1.5	2	3.5
OTU_423	12	6.75	5.25	3
OTU_424	2.75	14	29.5	5.5
OTU_425	26.25	9.25	5.75	11.25
OTU_426	0.75	0.5	0	0.75
OTU_427	21.75	6.25	1.5	8.25
OTU_428	26	3.5	4	15
OTU_429	7	4.5	2.75	3.5
OTU_430	14.5	3.75	3.5	5.75
OTU_431	31.25	14.5	7.75	20.5
OTU_432	17.75	10.5	5.75	9.5
