OTU_id	kingdom	phylum	class	order	family	genus	species
OTU_1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Others
OTU_2	Bacteria	Actinobacteria	unidentified_Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Others
OTU_3	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_aryabhattai
OTU_4	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Hazenella	
OTU_5	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Meiothermus	Others
OTU_6	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_thermoamylovorans
OTU_7	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Vulcaniibacterium	
OTU_8	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Fictibacillus	
OTU_9	Bacteria	Actinobacteria	unidentified_Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Others
OTU_10	Bacteria	Actinobacteria	unidentified_Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola	
OTU_11	Bacteria	Actinobacteria	unidentified_Actinobacteria	Micromonosporales	Micromonosporaceae	Micromonospora	Others
OTU_12	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus_simplex
OTU_13	Bacteria	Actinobacteria	unidentified_Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinomadura	Actinomadura_rubrobrunea
OTU_14	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Others	Others
OTU_15	Bacteria	Chloroflexi	Anaerolineae				
OTU_16	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	Pseudoxanthomonas_mexicana
OTU_17	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Ureibacillus	
OTU_18	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae		
OTU_19	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	unidentified_Rhizobiaceae	Agrobacterium_radiobacter
OTU_20	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium_herbicidovorans
OTU_21	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Thermomonas	Thermomonas_fusca
OTU_22	Bacteria	Actinobacteria	unidentified_Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharomonospora	Others
OTU_23	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales			
OTU_24	Bacteria	Proteobacteria	Gammaproteobacteria	unidentified_Gammaproteobacteria	Burkholderiaceae	Ramlibacter	Others
OTU_25	Bacteria	Gemmatimonadetes	unidentified_Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae		
OTU_26	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	Others
OTU_27	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas	Others
OTU_28	Bacteria	Actinobacteria	unidentified_Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter_globiformis
OTU_29	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas_jaspsi
OTU_30	Bacteria	Chloroflexi	Anaerolineae				
OTU_31	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter	
OTU_32	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	Others
OTU_33	Bacteria	Gemmatimonadetes	unidentified_Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Others	Others
OTU_34	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Others
OTU_35	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales			
OTU_36	Bacteria	Proteobacteria	Gammaproteobacteria	unidentified_Gammaproteobacteria	Burkholderiaceae	Massilia	Others
OTU_37	Bacteria	Proteobacteria	Alphaproteobacteria	Others	Others	Others	Others
OTU_38	Bacteria	Proteobacteria	Gammaproteobacteria	unidentified_Gammaproteobacteria	Nitrosomonadaceae		
OTU_39	Bacteria	Gemmatimonadetes	Longimicrobia	Longimicrobiales	Longimicrobiaceae		
OTU_40	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer	Others
OTU_41	Bacteria	Gemmatimonadetes	unidentified_Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	
OTU_42	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Lysobacter_sp
OTU_43	Bacteria	Gemmatimonadetes					
OTU_44	Bacteria	Proteobacteria	Gammaproteobacteria	unidentified_Gammaproteobacteria	Burkholderiaceae	Cupriavidus	Others
OTU_45	Bacteria	Proteobacteria	Alphaproteobacteria	unidentified_Alphaproteobacteria	Geminicoccaceae		
OTU_46	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Others
OTU_47	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Altererythrobacter	
OTU_48	Bacteria	Proteobacteria	Gammaproteobacteria	unidentified_Gammaproteobacteria	Burkholderiaceae	Schlegelella	
OTU_49	Bacteria	Actinobacteria	unidentified_Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Others
OTU_50	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	
OTU_51	Bacteria	Gemmatimonadetes					
OTU_52	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Thermoactinomyces	Others
OTU_53	Bacteria	Actinobacteria	unidentified_Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinomadura	Actinomadura_cremea
OTU_54	Bacteria	Chloroflexi	Anaerolineae				
OTU_55	Bacteria	Actinobacteria	unidentified_Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus_erythropolis
OTU_56	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Shimazuella	
OTU_57	Bacteria	Proteobacteria	Gammaproteobacteria	unidentified_Gammaproteobacteria	Burkholderiaceae	Bordetella	Others
OTU_58	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Others	Others
OTU_59	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophaga	Others
OTU_60	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas_viscosa
OTU_61	Bacteria	Actinobacteria	unidentified_Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Lechevalieria	Lechevalieria_aerocolonigenes
OTU_62	Bacteria	Acidobacteria	unidentified_Acidobacteria	unidentified_Acidobacteria	unidentified_Acidobacteria	unidentified_Acidobacteria	Acidobacteria_bacterium_LP6
OTU_63	Bacteria	Actinobacteria	unidentified_Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces_scabiei
OTU_64	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Others
OTU_65	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Others
OTU_66	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Pseudaminobacter	
OTU_67	Bacteria	Chloroflexi					
OTU_68	Bacteria	Acidobacteria	Others	Others	Others	Others	Others
OTU_69	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Lysobacter_soli
OTU_70	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Olivibacter	Sphingobacterium_sp_21
OTU_71	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	unidentified_Rhizobiales	Devosia	Devosia_riboflavina
OTU_72	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Anseongella	
OTU_73	Bacteria	Actinobacteria	Others	Others	Others	Others	Others
OTU_74	Bacteria	Proteobacteria	Gammaproteobacteria	unidentified_Gammaproteobacteria	unidentified_Gammaproteobacteria	Steroidobacter	
OTU_75	Bacteria	Acidobacteria	Holophagae				
OTU_76	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	Others
OTU_77	Bacteria	Actinobacteria	unidentified_Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	Amycolatopsis_coloradensis
OTU_78	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Sphingopyxis_macrogoltabida
OTU_79	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dokdonella	Others
