gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
OTU_90	103.223718061033	3.96480760936085	0.322341793577031	12.3000110080772	9.05617962562954e-35	1.09579773470117e-31
OTU_70	339.823311684966	4.31726535445509	0.420173610544035	10.2749559851347	9.13861416787742e-25	5.52886157156584e-22
OTU_5420	363.357105879035	2.30147893521685	0.230870707673982	9.96869182064804	2.08962917141987e-23	8.42817099139348e-21
OTU_46	194.355509125476	2.49856937499456	0.252575392171228	9.89237056514483	4.49261200657464e-23	1.35901513198883e-20
OTU_44	194.325434070859	3.18569833360574	0.329168000642593	9.67803166585666	3.73843944970556e-22	9.04702346828745e-20
OTU_2446	417.66711217323	2.9125119842672	0.303715011709823	9.58962142789928	8.84087988535531e-22	1.78291077687999e-19
OTU_265	98.7648481947657	2.57741200282854	0.289320153325508	8.90851181019784	5.17221265939942e-19	8.94053902553329e-17
OTU_2	1374.94962071402	2.47560786400113	0.281124264001297	8.8060981601706	1.29577579094751e-18	1.95986088380811e-16
OTU_96	205.98071300311	3.0421146335145	0.350812962150388	8.67161411273734	4.26037366802239e-18	5.72783570923011e-16
OTU_53	439.001850364633	3.01450571403151	0.350971834992629	8.58902456972032	8.77107630050824e-18	1.0613002323615e-15
OTU_2315	70.5961147124607	2.73304869498543	0.32331924709898	8.45309618746184	2.83677785480839e-17	3.12045564028923e-15
OTU_3	346.485310170009	1.99859804469462	0.255139562272809	7.83335217357475	4.75031293524189e-15	4.78989887636891e-13
OTU_149	55.5329640511999	3.23367507469236	0.413530261370466	7.8196818389439	5.29570126610737e-15	4.9290757938384e-13
OTU_6183	164.569014750402	2.03595966093678	0.267221360719697	7.6190004251659	2.55647622220566e-14	2.20952587776346e-12
OTU_59	83.0058552430302	3.23333381571336	0.433865361300186	7.45238985205888	9.16643804511561e-14	7.39426002305992e-12
OTU_40	45.9223726604658	3.07954523057907	0.414648239438831	7.42688606310449	1.11184052371002e-13	8.40829396055705e-12
OTU_434	89.248390408354	2.47750167523245	0.333967692781415	7.41838725356587	1.18555036141899e-13	8.43832904304107e-12
OTU_3833	43.4839671577261	2.86664180425079	0.405976411125126	7.06110435408342	1.65184480595503e-12	1.11040678622533e-10
OTU_5295	81.5335348946872	2.79246771907876	0.40032193366009	6.97555513270931	3.04665371246446e-12	1.94023736425368e-10
OTU_231	41.4901023129565	3.23239212372428	0.46394266064089	6.96722331862964	3.23257339800668e-12	1.95570690579404e-10
OTU_15	149.917029695598	2.7712785121711	0.399764605781532	6.93227582455257	4.14123491109604e-12	2.38614011544105e-10
OTU_264	40.2974455667051	3.18608875871375	0.464373445628874	6.86104855629507	6.83569216760257e-12	3.75963069218141e-10
OTU_178	59.5523543994735	3.31192510562548	0.492907133007344	6.71916652010824	1.82766950991333e-11	9.61513089997885e-10
OTU_2260	47.6125175647229	2.46739065966864	0.368628293536215	6.69343808636935	2.17987284719685e-11	1.09901922712841e-09
OTU_72	177.67362818899	3.46708553874795	0.519038350535253	6.67982536391107	2.39227152362768e-11	1.1578594174358e-09
OTU_4275	37.159629077468	2.83571274390384	0.430777026627226	6.58278545192183	4.6171518742888e-11	2.14875144918825e-09
OTU_5503	63.462886274844	2.8194237410704	0.439142376192937	6.42029531632285	1.36010233043646e-10	6.09527340677079e-09
OTU_141	86.5944157244623	2.60294820427787	0.406402496626682	6.40485288816747	1.50514437740495e-10	6.50437391664282e-09
OTU_12	251.670122338769	1.96357084758479	0.308686740516456	6.36104694454833	2.00383184642972e-10	8.36081563510331e-09
OTU_49	77.8145040148469	2.23465435214641	0.357768928141369	6.24608281036472	4.20874097402543e-10	1.69752552619026e-08
OTU_5854	163.69670800044	3.5766842008862	0.574607940134268	6.22456452664132	4.8289537579904e-10	1.88484969263496e-08
OTU_6742	95.120507192468	4.55467265026773	0.733308283635524	6.21112941433993	5.26051262944168e-10	1.98913133800764e-08
OTU_1	593.615978804241	1.91465584048552	0.317954325694849	6.02179522578055	1.72493042828481e-09	6.32474490371097e-08
OTU_16	148.444089850916	2.33206200480962	0.398556017619838	5.85127786737889	4.87810464825287e-09	1.73603136011352e-07
OTU_315	21.553142797722	3.10395111563226	0.53120718726384	5.8432024077464	5.12067355994546e-09	1.77029000215257e-07
OTU_57	238.783407933771	2.49396833699547	0.434275171910583	5.74282965803298	9.3107378105598e-09	3.12944243077149e-07
OTU_445	28.6250654625489	3.1408497647032	0.552070186119207	5.68922184837022	1.27619581952831e-08	4.17350524764665e-07
OTU_164	58.661559386912	2.04216133057144	0.362674761361662	5.63083387138425	1.7934040972367e-08	5.71057620435897e-07
OTU_128	29.6057074039704	2.31601138582848	0.415961507386953	5.56785025705272	2.57901304029941e-08	8.00155327887765e-07
OTU_4193	50.7115908582544	4.37988638342386	0.791327843276412	5.53485691251477	3.114825346263e-08	9.42234667244557e-07
OTU_6811	38.9751323143801	3.38384667495997	0.635522542890792	5.32451084987154	1.01225060429923e-07	2.98737373463918e-06
OTU_7049	55.1374301056088	2.67049733318838	0.502333671773472	5.31618221760902	1.05967035613598e-07	3.05285983553461e-06
OTU_2606	18.0744509943718	2.49308138173143	0.470258440807778	5.30151330712742	1.14846675050498e-07	3.23173201886286e-06
OTU_7493	21.1908131174375	3.08921130127038	0.583789960131625	5.29164855896779	1.21218664384214e-07	3.33351327056589e-06
OTU_110	31.745469084101	1.90552121121466	0.366596178549108	5.1978752717942	2.0157930485099e-07	5.22569989006017e-06
OTU_432	38.7812864314739	2.06397753358188	0.39696295083552	5.19942107755311	1.99910186295959e-07	5.22569989006017e-06
OTU_447	18.70146892143	3.1923019978926	0.614571300504581	5.19435579772701	2.05429931359051e-07	5.22569989006017e-06
OTU_2007	37.4585312129893	1.9784802210613	0.3810141184422	5.19266905161005	2.07300491506519e-07	5.22569989006017e-06
OTU_2243	40.1522854883553	1.70454131558336	0.331522504682724	5.14155537409036	2.72473320387446e-07	6.72842280956754e-06
OTU_213	49.170116427488	2.24903155971176	0.439333490393962	5.1191898839649	3.06850892331532e-07	7.42579159442308e-06
OTU_517	11.9623942081274	4.28528317537178	0.84800811855363	5.05335159135126	4.34123670387881e-07	1.02997968856732e-05
OTU_2183	17.4599672912155	3.24844533732972	0.643641013744386	5.04698312873485	4.488409682156e-07	1.04441840680938e-05
OTU_80	112.197205685946	-1.36765827917733	0.273628395899108	-4.99823227294587	5.78582667151585e-07	1.32091514576117e-05
OTU_535	150.125021298655	2.8081398121949	0.562877770197949	4.98889805367043	6.07246802929927e-07	1.36068265100965e-05
OTU_144	34.0574747012601	2.30563970222068	0.462648855176446	4.98356296881216	6.24239861480855e-07	1.37332769525788e-05
OTU_409	17.9433001780284	2.37127170373321	0.476222167943651	4.97933918946375	6.38017402285422e-07	1.37857331565243e-05
OTU_11	292.468489928373	1.42442938041763	0.288993372167967	4.9289344241076	8.26793175330695e-07	1.72486162439679e-05
OTU_236	47.9462177010838	3.08468659677251	0.625821679557403	4.92901843693571	8.26437760946357e-07	1.72486162439679e-05
OTU_401	19.239506350371	2.65973350749823	0.544157162826036	4.88780390886545	1.01967016556225e-06	2.09118796666157e-05
OTU_246	22.0890712507282	2.55442361586964	0.52417834088177	4.87319566003547	1.09807372926296e-06	2.21444868734697e-05
OTU_30	73.746798344912	2.22108410039151	0.460821679863062	4.81983421667907	1.43677566013919e-06	2.84999762093183e-05
OTU_27	382.397206821077	2.81337423471201	0.587874158174832	4.78567427329459	1.70414241902096e-06	3.32582633389575e-05
