	AP	TOC	TP	AK	NH4	TN	NO3	TK	pH	Bacillus	Streptomyces	Marmoricola	Vulcaniibacterium	Microvirga	Lysobacter	Nocardioides	Luteimonas	Gemmatimonas	Meiothermus	Hazenella	Sphingomonas	Ramlibacter	Pseudoxanthomonas	Flavisolibacter	Massilia	Phenylobacterium	Thermomonas	unidentified_Acidobacteria	Brevundimonas	Micromonospora	Altererythrobacter	Actinomadura	Pseudomonas	Steroidobacter	Saccharomonospora	unidentified_Gammaproteobacteria	Brevibacillus	Pseudaminobacter	Devosia
T.T3CK.1	44.8139315	10.51379936	1.035299077	277	16.8745	1.301498751	37.803	15.96817571	8.63	2070	1615	759	2080	1723	1073	929	540	519	1570	359	826	420	219	577	348	379	173	560	238	253	203	277	125	230	285	345	1100	149	151
T.T3CK.2	45.23711132	10.25202905	1.092501832	286	12.6545	1.29	49.061	16.79703169	8.53	1643	1123	1081	1313	1282	992	1121	495	771	1263	286	1413	651	221	609	478	492	151	613	407	193	369	161	173	185	64	320	144	186	129
T.T3CK.3	42.73095196	9.619238477	1.110427758	282	16.2875	1.168522513	19.9835	17.07212975	8.88	1773	899	885	1131	1213	1002	1055	548	939	1049	490	1035	557	249	545	496	547	146	588	288	183	299	170	144	274	111	459	415	123	157
T.T3CK.4	46.09024192	9.312506218	1.039354917	288	15.2085	1.039350497	33.2135	15.9029789	8.9	2049	1208	1228	1178	896	1064	1076	635	966	1598	346	700	585	369	448	441	366	209	451	328	185	304	197	251	268	59	334	260	143	141
T.T3B.1	83.48626576	12.54589963	1.289017324	302	27.834	1.709106529	422.4315	16.23199476	8.98	3635	699	1294	1228	1385	1416	1095	1040	1008	475	1773	486	688	479	432	463	516	449	292	297	709	229	510	329	252	535	254	198	314	169
T.T3B.2	78.61976958	11.62739485	1.206097455	320	20.6755	1.567875713	109.194	16.69097846	8.43	2829	2415	888	1528	1051	1273	914	1814	580	645	1724	775	460	629	284	198	389	697	227	357	432	253	366	311	275	742	198	211	368	204
T.T3B.3	94.77	11.46340354	1.201370613	331	23.1935	1.60461953	56.749	15.9453303	8.14	2912	2409	1334	1520	1052	1265	1414	2029	665	549	1154	522	428	595	353	248	329	430	222	243	392	265	701	308	359	353	196	173	329	180
T.T3B.4	68.73928248	11.20091644	1.177610426	322	24.1245	1.469276219	52.4945	15.76008646	8.38	2615	2607	1221	1381	1058	1158	976	1523	542	699	1368	462	425	786	407	545	374	856	245	385	438	426	393	611	288	456	186	237	335	244
T.T3J.1	98.49292481	12.65689273	1.349238956	344	22.948	1.646581692	51.8735	14.86604907	8.45	2969	2339	850	1071	980	1156	959	1393	728	353	1062	766	595	677	405	330	515	748	289	385	571	317	422	451	329	529	228	241	252	251
T.T3J.2	84.17340586	11.59077469	1.260093967	315	21.966	1.522436776	40.3435	16.02564103	8.4	3177	2486	948	1171	1025	1036	1034	1276	461	450	941	984	513	606	467	246	398	506	265	377	442	621	359	360	354	280	208	186	463	317
T.T3J.3	105.3833117	11.3565483	1.379004718	379	20.033	1.211571255	55.507	16.67019475	8.24	2546	3105	807	1174	1221	1387	911	1636	795	345	579	829	484	798	318	357	426	913	297	533	305	536	633	677	401	380	215	241	293	362
T.T3J.4	103.8980868	12.97571754	1.396415154	357	21.4125	1.301206395	55.528	16.20033915	7.97	2601	3321	1356	769	1472	1168	984	1242	442	316	728	616	507	776	341	375	508	589	228	476	459	585	463	540	414	404	250	164	510	457
T.T3ML.1	43.97422453	10.46371238	1.17729981	310	16.45	1.312286523	26.7305	15.47523962	8.75	2218	557	1984	902	1117	1043	1198	452	1371	695	292	586	1238	342	555	677	353	155	483	335	251	285	263	162	356	109	388	220	188	177
T.T3ML.2	47.97048607	10.05446167	1.086634214	289	16.9145	1.23662084	19.4665	15.79422383	8.89	2349	1619	1271	916	1088	978	887	779	2192	797	383	683	1076	373	453	378	375	207	464	400	364	307	177	132	239	176	333	198	205	190
T.T3ML.3	43.41927374	9.284332689	1.053583554	282	15.3665	1.16107929	18.204	14.86604907	8.98	2580	1725	2035	932	1180	1326	1051	683	1706	706	342	445	1220	500	536	551	445	151	345	436	308	321	254	171	322	117	246	206	205	214
T.T3ML.4	36.66155322	9.565754599	1.074873935	283	16.5255	1.224746954	36.043	15.75484765	8.76	2289	1953	2543	1043	1006	926	1178	602	1081	959	246	371	698	448	453	641	359	233	445	385	291	285	185	160	230	116	275	238	196	181
