	y	env	group
1	0.171761077	0.23440129	T2
2	0.186273135	0.241832586	T2
3	0.190514582	0.260691251	T2
4	0.446333427	0.662331744	T2
5	0.370793606	0.644314358	T2
6	0.452292485	0.633938587	T2
7	0.521487661	0.666012339	T2
8	0.458006169	0.701661526	T2
9	0.439673303	0.680279024	T2
10	0.462843522	0.633237521	T2
11	0.508342681	0.649502243	T2
12	0.300336511	0.473674986	T2
13	0.288558609	0.460319686	T2
14	0.309029725	0.485873528	T2
15	0.313656758	0.467891195	T2
16	0.16261217	0.199943915	T2
17	0.200049075	0.223639933	T2
18	0.440935222	0.684169938	T2
19	0.373808188	0.668255749	T2
20	0.447314919	0.653463264	T2
21	0.516930735	0.689357824	T2
22	0.453694616	0.722132642	T2
23	0.440584689	0.701941952	T2
24	0.458076276	0.652657039	T2
25	0.517351374	0.674670499	T2
26	0.297707515	0.489273696	T2
27	0.286876052	0.456043186	T2
28	0.307767807	0.483595064	T2
29	0.314147504	0.448296411	T2
30	0.186238082	0.19005889	T2
31	0.444580763	0.702713124	T2
32	0.370758553	0.684730791	T2
33	0.445562255	0.672742569	T2
34	0.516019349	0.705692653	T2
35	0.459653674	0.741376893	T2
36	0.435642176	0.718311834	T2
37	0.457865956	0.671866237	T2
38	0.511287156	0.692757992	T2
39	0.305138811	0.488187044	T2
40	0.287892597	0.447244812	T2
41	0.315549635	0.463860067	T2
42	0.309204992	0.429963545	T2
43	0.456043186	0.694300337	T2
44	0.384254066	0.679052159	T2
45	0.455692653	0.667554683	T2
46	0.526009534	0.697980931	T2
47	0.466489063	0.734261077	T2
48	0.44882221	0.710915592	T2
49	0.47073051	0.662892597	T2
50	0.516545149	0.683538979	T2
51	0.314147504	0.474761638	T2
52	0.304087213	0.447665451	T2
53	0.317547672	0.454290522	T2
54	0.324558329	0.416573191	T2
55	0.289224621	0.181540942	T2
56	0.262934661	0.175511778	T2
57	0.303876893	0.183048233	T2
58	0.272854739	0.200364554	T2
59	0.264862591	0.181225463	T2
60	0.319580763	0.232823892	T2
61	0.348920359	0.229669097	T2
62	0.417379417	0.386602636	T2
63	0.454185362	0.431190409	T2
64	0.473674986	0.422181716	T2
65	0.447525238	0.505503365	T2
66	0.329535895	0.155110768	T2
67	0.376752664	0.194896242	T2
68	0.342330342	0.206954571	T2
69	0.27425687	0.196333427	T2
70	0.322840718	0.179437745	T2
71	0.33290101	0.195982894	T2
72	0.363222098	0.356667134	T2
73	0.361189007	0.38846046	T2
74	0.364519069	0.375736119	T2
75	0.35298654	0.471081043	T2
76	0.283581043	0.197139652	T2
77	0.28109226	0.25469714	T2
78	0.239063376	0.156653113	T2
79	0.311343242	0.23857263	T2
80	0.345415031	0.220765564	T2
81	0.413313236	0.38600673	T2
82	0.460600112	0.39498037	T2
83	0.480300056	0.383167414	T2
84	0.45075014	0.474411105	T2
85	0.279760236	0.193108525	T2
86	0.27019069	0.23632922	T2
87	0.310537016	0.184204992	T2
88	0.358139372	0.134569546	T2
89	0.480194896	0.355966068	T2
90	0.526780707	0.409141896	T2
91	0.541783511	0.404479809	T2
92	0.52201346	0.501121705	T2
93	0.237906618	0.228302019	T2
94	0.309134885	0.234155917	T2
95	0.360312675	0.192442513	T2
96	0.420919798	0.388285193	T2
97	0.462422883	0.443283791	T2
98	0.478652552	0.433363713	T2
99	0.452117218	0.52702608	T2
100	0.257045709	0.279339596	T2
101	0.275974481	0.25234857	T2
102	0.402236399	0.410438867	T2
103	0.431575996	0.425932417	T2
104	0.450574874	0.427895401	T2
105	0.422041503	0.508237521	T2
106	0.339981772	0.150378575	T2
107	0.432872967	0.312009254	T2
108	0.466313797	0.360347729	T2
109	0.484962142	0.344678912	T2
110	0.460004206	0.443564218	T2
111	0.4551318	0.326451206	T2
112	0.45748037	0.382396242	T2
113	0.465016826	0.368409983	T2
114	0.445351935	0.470029445	T2
115	0.257150869	0.154514863	T2
116	0.290837072	0.194054964	T2
117	0.269840157	0.275168256	T2
118	0.204395681	0.161455412	T2
119	0.191706394	0.23408581	T2
120	0.222202748	0.199488222	T2
121	0.171761077	7.61759697	AP
122	0.186273135	1.58261492	AP
123	0.190514582	10.58940558	AP
124	0.446333427	22.63073596	AP
125	0.370793606	8.56755727	AP
126	0.452292485	10.2150703	AP
127	0.521487661	19.68159939	AP
128	0.458006169	20.02297018	AP
129	0.439673303	24.59857725	AP
130	0.462843522	28.6856116	AP
131	0.508342681	22.45421697	AP
132	0.300336511	0.1330862	AP
133	0.288558609	1.97342772	AP
134	0.309029725	4.65696382	AP
135	0.313656758	8.4608844	AP
136	0.16261217	6.03498205	AP
137	0.200049075	2.97180861	AP
138	0.440935222	30.24833293	AP
139	0.373808188	16.18515424	AP
140	0.447314919	17.83266727	AP
141	0.516930735	27.29919636	AP
142	0.453694616	27.64056715	AP
143	0.440584689	32.21617422	AP
144	0.458076276	36.30320857	AP
145	0.517351374	30.07181394	AP
146	0.297707515	7.48451077	AP
147	0.286876052	5.64416925	AP
148	0.307767807	2.96063315	AP
149	0.314147504	0.84328743	AP
150	0.186238082	9.00679066	AP
151	0.444580763	24.21335088	AP
152	0.370758553	10.15017219	AP
153	0.445562255	11.79768522	AP
154	0.516019349	21.26421431	AP
155	0.459653674	21.6055851	AP
156	0.435642176	26.18119217	AP
157	0.457865956	30.26822652	AP
158	0.511287156	24.03683189	AP
159	0.305138811	1.44952872	AP
160	0.287892597	0.3908128	AP
161	0.315549635	3.0743489	AP
162	0.309204992	6.87826948	AP
163	0.456043186	33.22014154	AP
164	0.384254066	19.15696285	AP
165	0.455692653	20.80447588	AP
166	0.526009534	30.27100497	AP
167	0.466489063	30.61237576	AP
168	0.44882221	35.18798283	AP
169	0.47073051	39.27501718	AP
170	0.516545149	33.04362255	AP
171	0.314147504	10.45631938	AP
172	0.304087213	8.61597786	AP
173	0.317547672	5.93244176	AP
174	0.324558329	2.12852118	AP
175	0.289224621	14.06317869	AP
176	0.262934661	12.41566566	AP
177	0.303876893	2.94913657	AP
178	0.272854739	2.60776578	AP
179	0.264862591	1.96784129	AP
180	0.319580763	6.05487564	AP
181	0.348920359	0.17651899	AP
182	0.417379417	22.76382216	AP
183	0.454185362	24.60416368	AP
184	0.473674986	27.28769978	AP
185	0.447525238	31.09162036	AP
186	0.329535895	1.64751303	AP
187	0.376752664	11.11404212	AP
188	0.342330342	11.45541291	AP
189	0.27425687	16.03101998	AP
190	0.322840718	20.11805433	AP
191	0.33290101	13.8866597	AP
192	0.363222098	8.70064347	AP
193	0.361189007	10.54098499	AP
194	0.364519069	13.22452109	AP
195	0.35298654	17.02844167	AP
196	0.283581043	9.46652909	AP
197	0.28109226	9.80789988	AP
198	0.239063376	14.38350695	AP
199	0.311343242	18.4705413	AP
200	0.345415031	12.23914667	AP
201	0.413313236	10.3481565	AP
202	0.460600112	12.18849802	AP
203	0.480300056	14.87203412	AP
204	0.45075014	18.6759547	AP
205	0.279760236	0.34137079	AP
206	0.27019069	4.91697786	AP
207	0.310537016	9.00401221	AP
208	0.358139372	2.77261758	AP
209	0.480194896	19.81468559	AP
210	0.526780707	21.65502711	AP
211	0.541783511	24.33856321	AP
212	0.52201346	28.14248379	AP
213	0.237906618	4.57560707	AP
214	0.309134885	8.66264142	AP
215	0.360312675	2.43124679	AP
216	0.420919798	20.15605638	AP
217	0.462422883	21.9963979	AP
218	0.478652552	24.679934	AP
219	0.452117218	28.48385458	AP
220	0.257045709	4.08703435	AP
221	0.275974481	2.14436028	AP
222	0.402236399	24.73166345	AP
223	0.431575996	26.57200497	AP
224	0.450574874	29.25554107	AP
225	0.422041503	33.05946165	AP
226	0.339981772	6.23139463	AP
227	0.432872967	28.8186978	AP
228	0.466313797	30.65903932	AP
229	0.484962142	33.34257542	AP
230	0.460004206	37.146496	AP
231	0.4551318	22.58730317	AP
232	0.45748037	24.42764469	AP
233	0.465016826	27.11118079	AP
234	0.445351935	30.91510137	AP
235	0.257150869	1.84034152	AP
236	0.290837072	4.52387762	AP
237	0.269840157	8.3277982	AP
238	0.204395681	2.6835361	AP
239	0.191706394	6.48745668	AP
240	0.222202748	3.80392058	AP
241	0.171761077	0.082	NH4
242	0.186273135	1.2635	NH4
243	0.190514582	2.2345	NH4
244	0.446333427	5.667	NH4
245	0.370793606	3.785	NH4
246	0.452292485	5.1085	NH4
247	0.521487661	6.5675	NH4
248	0.458006169	59.605	NH4
249	0.439673303	11.7135	NH4
250	0.462843522	6.657	NH4
251	0.508342681	11.692	NH4
252	0.300336511	1.347	NH4
253	0.288558609	0.6535	NH4
254	0.309029725	0.805	NH4
