	NO3	NH4	TN	AP	TP	AK	TK	TOC	pH	Ec
H.T3CK.1	52.7555	8.45	1.409256198	40.43396295	1.2715328	360	16.94850701	12.0472856	8.46	0.22
H.T3CK.2	53.741	8.532	1.456304348	32.81636598	1.152219476	373	15.65695297	11.82408075	8.6	0.251
H.T3CK.3	54.014	9.7135	1.499479238	38.85134803	1.44817781	364	17.44111623	12.01054585	8.71	0.249
H.T3CK.4	55.5215	10.6845	1.435176746	29.84455737	1.258577572	341	17.37850701	12.16100108	8.54	0.343
H.T3B.1	56.652	14.117	1.989365099	63.06469891	1.377213572	373	17.31698017	14.04566826	8.55	0.392
H.T3B.2	53.478	12.235	1.350958023	49.00152022	1.145245944	320	16.6015625	10.15505569	8.88	0.175
H.T3B.3	54.7675	13.5585	1.578439191	50.64903325	1.487103444	392	18.16647093	12.17119044	8.71	0.228
H.T3B.4	57.2315	15.0175	1.895283019	60.11556234	1.522236631	397	15.93531938	14.19892143	8.65	0.413
H.T3J.1	58.0325	68.055	2.237936248	60.45693313	1.563538604	830	17.60795155	15.80771335	8.4	0.645
H.T3J.2	57.7155	20.1635	1.946856072	65.0325402	1.504831658	430	17.49271137	13.42137526	8.22	0.545
H.T3J.3	55.6715	15.107	1.781755424	69.11957455	1.488127123	399	18.09286707	13.04227176	8.32	0.287
H.T3J.4	55.3475	20.142	1.900185357	62.88817992	1.677764492	377	17.25928641	14.19892143	8.33	0.351
H.T3ML.1	52.91	9.797	1.472894652	40.30087675	1.244162571	344	17.37882653	11.65665842	8.53	0.178
H.T3ML.2	57.6905	9.1035	1.568222039	38.46053523	1.328694257	365	18.20542047	11.16427432	8.41	0.513
H.T3ML.3	54.6905	9.255	1.578673708	35.77699913	1.280324414	338	18.61285266	11.75268268	8.39	0.328
H.T3ML.4	55.539	9.2925	1.572013184	31.97307855	1.331193659	348	17.65970516	12.35483074	8.59	0.396
